# source: felix Krueger http://www.ebi.ac.uk/~fkrueger/components.htm
# protein_accession   full_name   species     complex     uniprotName     comments links           
P62993      grb2    0   GRB2    SH2/SH3 adapter GRB2    
O00750      pi3k    1   PIK3C2B     Phosphoinositide 3-kinase-C2-beta, should probably focus on class I, see Od    http://en.wikipedia.org/wiki/PI3K  
O00443      pi3k    1   PIK3C2A     Phosphoinositide 3-kinase-C2-alpha, should probably focus on class I, see O    
O75747      pi3k    1   PIK3C2G     Phosphoinositide 3-kinase-C2-gamma, should probably focus on class I, see  
Q8NEB9      pi3k    1   PIK3C3  this is a class three catalytic unit, looking for class 1,2   
O00329      pi3k    1   PIK3CD  catalytic subunit delta, expressed in leukocytes    
P42338      pi3k    1   PIK3CB  catalytic subunit beta  
P42336      pi3k    1    PIK3CA     catalytic subunit alpha http://en.wikipedia.org/wiki/Class_I_PI_3-kinases   
P27986      pi3k    1   PIK3R1  PI3-kinase subunit p85-alpha    
O00459      pi3k    1   PIK3R2  PI3-kinase subunit p85-beta     
Q92569      pi3k    1   PIK3R3  PI3-kinase subunit p55-gamma    
P31749      akt     0   AKT1    Proto-oncogene c-Akt    
P31751      akt     0    AKT2   Protein kinase B beta   
Q9Y243      akt     0   AKT3    Protein kinase B gamma  
O15530      pdk1    0   PDPK1   PDK1    
P49841      gsk3    0   GSK3B   Glycogen synthase kinase-3 beta (involved in metabolism and pattern forma    
P49840      gsk3    0   GSK3A   Glycogen synthase kinase-3 alpha    
P01106      cmyc    0   MYC     Proto-oncogene c-Myc    
P20936      rasgap  0   RASA1   Ras p21 protein activator   
P01116      ras     0   KRAS    Ki-Ras  
P01112      ras     0   HRAS    Ha-Ras http://atlasgeneticsoncology.org/Genes/RAF1ID42032ch3p25.html
P01111      ras     0   NRAS    Transforming protein N-Ras  
Q07889      sos1    0   SOS1        
P04049      raf1    0   RAF1    Proto-oncogene c-RAF    
P15056      raf1    0   BRAF    v-Raf murine sarcoma viral oncogene homolog B1 (mainly expressed in neu    
P10398      raf1    0   ARAF     Proto-oncogene A-Raf-1     
Q02750      mek12   0   MAP2K1  Dual specificity mitogen-activated protein kinase kinase 1     
P36507      mek12   0   MAP2K2  Dual specificity mitogen-activated protein kinase kinase 2     
P27361      erk12   0   MAPK3   Synonyms:ERK1, PRKM3    
P28482      erk12   0   MAPK1   Synonyms:ERK2, PRKM1, PRKM2     
P60953      rac_cdc42   0   CDC42   Plasma membrane-associated small GTPase which cycles between an active  
P45983      jnk     0   MAPK8   Synonyms:JNK1, PRKM8, SAPK1, SAPK1C     
Q16539          p38     1   MAPK14  Mitogen-activated protein kinase p38 alpha  
P16885      plcg    0   PLCG2   Phospholipase C-gamma-2     
P19174      plcg    0   PLCG1   1-phosphatidylinositol-4,5-bisphosphate phosphodiesterase gamma-1   
